date,SPI-90d,SPEI-90d,EDDI-90d,PDSI
2021-01-05,-1.01,-1.45,2.09,-3.57
2021-01-10,-1.01,-1.28,2.09,-3.65
2021-01-15,-1.13,-1.28,1.69,-3.74
2021-01-20,-1.28,-1.45,1.69,-3.87
2021-01-25,-1.28,-1.45,1.69,-3.96
2021-01-30,-0.46,-1.13,1.69,-3.95
2021-02-04,-0.54,-1.13,1.69,-3.94
2021-02-09,-0.8,-1.28,1.69,-3.92
2021-02-14,-0.9,-1.28,1.69,-3.88
2021-02-19,-1.13,-1.28,1.69,-3.84
2021-02-24,-1.28,-1.45,1.69,-3.83
2021-03-01,-1.45,-1.69,1.69,-3.98
2021-03-06,-1.45,-1.69,1.69,-4.15
2021-03-11,-1.13,-1.28,1.69,-4.25
2021-03-16,-0.71,-1.28,1.69,-4.32
2021-03-21,-0.54,-1.01,1.69,-4.34
2021-03-26,-0.39,-0.9,1.45,-4.37
2021-03-31,-0.54,-0.8,1.28,-4.39
2021-04-05,-0.32,-0.62,1.28,-4.4
2021-04-10,-0.39,-0.54,1.45,-4.46
2021-04-15,-0.32,-0.54,1.28,-4.55
2021-04-20,-0.32,-0.54,1.45,-4.69
2021-04-25,-0.54,-1.13,1.45,-4.82
2021-04-30,-1.69,-1.69,1.13,-4.93
2021-05-05,-1.45,-1.69,1.01,-5.04
2021-05-10,-1.28,-1.69,1.45,-5.14
2021-05-15,-1.45,-1.69,1.13,-5.23
2021-05-20,-1.28,-1.69,1.13,-5.31
2021-05-25,-1.01,-1.45,1.13,-5.37
2021-05-30,-0.8,-1.13,1.13,-5.43
2021-06-04,-0.71,-1.45,1.13,-5.47
2021-06-09,-1.28,-1.45,1.13,-5.5
2021-06-14,-1.45,-1.45,1.28,-5.52
2021-06-19,-2.09,-2.09,1.28,-5.51
2021-06-24,-2.09,-2.09,1.69,-5.5
2021-06-29,-2.09,-2.09,1.45,-5.46
2021-07-04,-1.45,-2.09,1.45,-5.42
2021-07-09,-1.28,-2.09,1.45,-5.36
2021-07-14,-1.45,-2.09,1.69,-5.31
2021-07-19,-0.9,-2.09,1.45,-5.25
2021-07-24,-2.09,-2.09,2.09,-5.18
2021-07-29,-2.09,-2.09,2.09,-5.11
2021-08-03,-1.45,-2.09,1.69,-5.03
2021-08-08,-1.45,-1.69,1.28,-4.96
2021-08-13,-1.13,-2.09,2.09,-4.87
2021-08-18,-0.9,-2.09,1.69,-4.79
2021-08-23,-0.71,-2.09,1.69,-4.71
2021-08-28,-0.39,-2.09,1.69,-4.63
2021-09-02,-0.24,-2.09,1.69,-4.55
2021-09-07,-0.03,-2.09,2.09,-4.48
2021-09-12,0.17,-2.09,2.09,-4.41
2021-09-17,0.1,-2.09,2.09,-4.35
2021-09-22,-0.03,-2.09,2.09,-4.29
2021-09-27,0.03,-2.09,2.09,-4.24
2021-10-02,-0.1,-2.09,2.09,-4.2
2021-10-07,0.03,-2.09,1.69,-4.15
2021-10-12,0.17,-1.13,1.13,-4.09
2021-10-17,0.17,-1.28,1.28,-4.03
2021-10-22,0.1,-1.13,1.28,-3.98
2021-10-27,1.13,-0.03,1.45,-3.78
2021-11-01,0.71,-0.17,1.45,-3.62
2021-11-06,0.47,-0.17,1.69,-3.47
2021-11-11,0.39,-0.03,0.71,-3.33
2021-11-16,0.17,0.03,0.1,-3.19
2021-11-21,0.1,0.1,-0.03,-3.07
2021-11-26,-0.1,-0.1,0.03,-3.09
2021-12-01,-0.24,-0.17,-0.03,-3.12
2021-12-06,-0.24,-0.17,-0.1,-3.15
2021-12-11,-0.03,0.03,-0.32,-3.19
2021-12-16,0.47,0.39,-0.39,-3.1
2021-12-21,0.32,0.24,-0.24,-3.03
2021-12-26,1.01,1.01,-0.62,-2.81
2021-12-31,1.28,1.28,-0.62,-2.57
2022-01-05,1.01,0.8,-0.32,-2.38
2022-01-10,0.71,0.54,-0.62,-2.25
2022-01-15,0.54,0.54,-0.62,-2.24
2022-01-20,0.32,0.32,-0.71,-2.22
2022-01-25,-0.17,-0.17,-0.24,-2.34
2022-01-30,-0.32,-0.24,0.24,-2.48
2022-02-04,-0.39,-0.39,0.47,-2.58
2022-02-09,-0.46,-0.62,0.8,-2.69
2022-02-14,-0.9,-1.13,1.01,-2.85
2022-02-19,-1.13,-1.13,1.28,-3.03
2022-02-24,-1.13,-1.28,1.13,-3.21
2022-03-01,-1.13,-1.45,1.45,-3.41
2022-03-06,-0.9,-1.45,1.28,-3.58
2022-03-11,-1.13,-1.28,1.69,-3.73
2022-03-16,-2.09,-1.69,1.69,-3.9
2022-03-21,-2.09,-1.69,1.69,-4.04
2022-03-26,-2.09,-2.09,1.69,-4.18
2022-03-31,-2.09,-2.09,1.28,-4.25
2022-04-05,-2.09,-2.09,1.28,-4.31
2022-04-10,-2.09,-2.09,1.45,-4.39
2022-04-15,-2.09,-2.09,1.28,-4.47
